category,date,developer,name,platforms,price,rate,reviews_numbers,tags
Indie Games,"21 Feb, 2018",Dribble Games,Slime Sports,"win,mac",None,Mostly Positive,13,"Casual,Sports,Action,Indie,Free,to,Play"
Sports Games/EA Sports Franchise,"26 Sep, 2024",EA CanadaEA Romania,EA SPORTS FC™ 25,win,None,Mixed,62797,"Sports,Simulation,Football,(Soccer),Controller,Multiplayer,eSports,Competitive,Local,Co-Op,Family,Friendly,Local,Multiplayer,Singleplayer,Online,Co-Op,PvP,Modern,Realistic,Co-op,Soundtrack,Split,Screen,Free,to,Play,LGBTQ+"
Sports Games/Dear Villagers Franchise,"27 Mar, 2025",Goat Gamez,Sports: Renovations,win,None,Mixed,35,"Simulation,Sports,Relaxing,Casual,Realistic,First-Person,Singleplayer,Immersive,Sim,Family,Friendly,Building,Wholesome,Story,Rich,3D,Atmospheric,Crafting,Narration,Walking,Simulator,Indie,Base,Building,Economy"
Casual Games,"6 Aug, 2024",MorningHeart,CasualMuyu,win,None,,,"Casual,Simulation,Life,Sim,Rhythm,Idler,Clicker,3D,Cartoony,Hand-drawn,First-Person,Indie,Atmospheric,Nature,Singleplayer"
Action Games,"30 Jan, 2021",Enaayah Software Development and Services Private Limited,Casual Commando,"win,mac,linux",22 руб.,2 user reviews,2,"Action,Adventure,RPG,Simulation,Strategy,Action-Adventure,Battle,Royale,God,Game,Visual,Novel,Shoot,'Em,Up,Survival,Horror,Wargame,3D,Colorful,Cute,Isometric,Pixel,Graphics,Survival,War,Warhammer,40K"
Sports Games,"20 Aug, 2021",Team Fractal Alligator,Wrestledunk Sports,"win,mac,linux",None,Positive,19,"Sports,Indie,Action,Multiplayer,PvP,Local,Co-Op,Online,Co-Op,Local,Multiplayer,4,Player,Local,Family,Friendly,Co-op"
Sports Games,To be announced,Broxcorp,Sports Sports,"win,linux",None,,,"Sports,Arcade,Pixel,Graphics,Character,Customization,Multiplayer,2.5D,2D,Local,Co-Op,Old,School,Retro,4,Player,Local,Local,Multiplayer,Singleplayer,Colorful,Cute,Casual,PvP,Co-op,Indie"
Game Development,"15 Jun, 2022",Daniel Brendel,Casual Game Engine,win,None,Mixed,12,"Game,Development,Programming,2D,2D,Fighter,Top-Down,Shooter,Top-Down,Sandbox,Arena,Shooter,Shoot,'Em,Up,Pixel,Graphics,1990's,Old,School,Education,Retro,Science,Combat,Vehicular,Combat,Hack,and,Slash,Action,Free,to,Play"
Free To Play Games,"23 Sep, 2017",Fair Games,Casual Spider Solitaire,win,None,Mixed,47,"Solitaire,Card,Game,Relaxing,Family,Friendly,Indie,Puzzle,Top-Down,Casual,Singleplayer,2D,Free,to,Play"
Simulation Games,"30 Jul, 2024",MorningHeart,Endless Casual Drive,win,None,Mixed,25,"Casual,Automobile,Sim,Nature,Simulation,Life,Sim,3D,Singleplayer,Immersive,Sim,Idler,Realistic,First-Person,Third,Person,1980s,Transportation,Relaxing,Artificial,Intelligence,Character,Customization"
Indie Games,"25 May, 2022",Daniel Brendel,Casual Pixel Warrior,win,None,Mostly Positive,13,"Action,Top-Down,Shooter,Casual,Top-Down,Twin,Stick,Shooter,Shooter,Pixel,Graphics,Retro,2D,Fighter,Shoot,'Em,Up,1990's,Aliens,Destruction,Futuristic,Military,Old,School,Robots,Sci-fi,Survival,Tactical"
Casual Games,"25 Aug, 2023",HapGames,Xonix Casual Edition,win,"1139,60 руб.",Mostly Positive,14,"1990's,Remake,1980s,Retro,Arcade,Casual,Puzzle,Board,Game,Tabletop,3D,Platformer,Nonlinear,Puzzle,Platformer,Top-Down,Colorful,Abstract,Atmospheric,Minimalist,Psychedelic,3D,Indie"
Casual Games,"14 Feb, 2020",Daniel Brendel,Casual Desktop Game,win,None,Very Positive,187,"Casual,Clicker,Sandbox,Moddable,Old,School,1990's,1980s,Action,Early,Access,Indie,Free,to,Play,Memes,Destruction,Singleplayer,Arcade,Boomer,Shooter,Shoot,'Em,Up,2D,Minimalist,Pixel,Graphics"
Sports Games,"21 Dec, 2023",Patrick Dinklage,Casual Pro Wrestling,win,None,Very Positive,56,"Wrestling,Action,3D,Old,School,Character,Customization,Sports,Local,Multiplayer,Comedy,Martial,Arts,Singleplayer,Early,Access,Casual,Indie,Multiplayer,PvP"
Action Games,To be announced,Crit Kitchen,Act Casual,"win,mac",None,,,"Action,Casual,3D,Fighter,3D,Cute,Third,Person,Aliens,Combat,Controller,Physics,4,Player,Local,Local,Multiplayer,Multiplayer,Indie,Family,Friendly,Funny,PvP,Singleplayer,Minigames,Party"
Simulation Games,Q3 2025,Vladimir Slav,Casual Trucking,"win,mac,linux",None,,,"Driving,Transportation,Economy,Casual,Management,Simulation,Automobile,Sim,3D,Relaxing,Open,World,Controller,Third,Person,Cartoony,Family,Friendly,Singleplayer"
Racing Games,Q3 2025,Infinite Loop,Casual Cruise,win,None,,,"Racing,Driving,Automobile,Sim,Arcade,First-Person,Third,Person,Realistic,Physics,Indie,Early,Access,Multiplayer,Singleplayer"
Casual Games,"27 Mar, 2024",鄭伯,Casual Mahjong,"win,mac,linux",None,Mixed,23,"Casual,Mahjong,Strategy,Tabletop,Relaxing,Singleplayer,Card,Game,Board,Game,3D,Top-Down,Funny"
Racing Games,"13 Aug, 2018",Simple Racing,Simple Racing,"win,mac,linux",None,Mixed,12,"Massively,Multiplayer,Indie,Casual,Racing"
Simulation Games,"16 May, 2018",CasGames,Casual Penalty,win,None,Mostly Positive,64,"Casual,Sports,Simulation"
Racing Games,"19 Sep, 2019",Igor Kovalenko,Racing angle,win,None,Mixed,18,"Racing,Action,Indie,Casual,Simulation"
Racing Games,"27 Feb, 2020",Mystik'art,Racing Glider,win,"215,60 руб.",Mixed,30,"Racing,Indie,Sports,Casual,Physics,Early,Access"
Racing Games,"15 May, 2020",Team Dreamstate,Dreamstate Racing,win,None,Mixed,36,"Racing,Free,to,Play,Casual,Arcade,Multiplayer,Futuristic,Split,Screen"
Free To Play Games,"23 May, 2022",Phantom Interactive,Phantom Racing,"win,mac",None,Mixed,91,"Massively,Multiplayer,Racing,3D,Sports,Multiplayer,Arcade,Automobile,Sim,Turn-Based,Strategy,Real,Time,Tactics,Turn-Based,Tactics,Time,Management,3D,Vision,Realistic,Third,Person,Driving,Family,Friendly,Management,PvP,Character,Customization,Controller"
Racing Games,"14 Jun, 2020",Rabotiagi games,Racing Juke,win,41 руб.,Mixed,28,"Racing,Sports,Action,Simulation,Casual,Indie,Arcade,Driving,Great,Soundtrack,Funny,Atmospheric,Singleplayer,Cartoony,Colorful,Time,Attack,Arena,Shooter,Memes"
Racing Games/Conglomerate 5 Franchise,"2 Aug, 2017",Tero Lunkka,Nash Racing,win,"3869,88 руб.",Mixed,97,"Racing,Indie"
Racing Games,"3 Dec, 2024",Finebe,Reindeer Racing,win,None,Mostly Positive,14,"Multiplayer,Combat,Racing,Driving,Sports,Racing,PvE,PvP,Party,Game,Destruction,Singleplayer,Family,Friendly,Arcade,Indie,3D,Comedy,Third,Person,Funny,Casual,Snow,Cartoony"
Action Games,"10 Jul, 2020",Space River,Covid-Racing,"win,mac",None,Positive,10,"Action,Indie,Strategy,Racing,Adventure,Zombies,Shooter,Violent,Top-Down,Shooter"
Racing Games/Plug In Digital Franchise,"22 Mar, 2017",MagicIndie,Cyberline Racing,"win,mac",None,Mixed,180,"Racing,Action,Indie"
Simulation Games,"8 Jan, 2025",Amistech Games,My Summer Car,win,None,Very Positive,83293,"Automobile,Sim,Simulation,Driving,Open,World,Survival,Realistic,First-Person,Building,Racing,Singleplayer,Funny,Sandbox,Early,Access,Difficult,Perma,Death,Multiplayer,Comedy,Indie,Adventure,Psychological,Horror"
Indie Games,"23 Jan, 2022",Enaayah Software Development and Services Private Limited,Racing Outlaws,"win,mac,linux",22 руб.,Positive,27,"Action,Racing,Adventure,Arcade,3D,Platformer,Action,Roguelike,3D,Sports,Indie,Strategy,Atmospheric,Combat,Singleplayer,Multiplayer,Casual,4X,Auto,Battler,Automobile,Sim,Beat,'em,up,eSports"
Racing Games,"2 Aug, 2024",Gustav Olsson,Seaside Racing,"win,linux",None,Positive,30,"Racing,Physics,Multiplayer,4,Player,Local,Split,Screen,Local,Multiplayer,Simulation,Arcade,Offroad,Driving,3D,Platformer,Family,Friendly,Exploration,3D,Combat,Racing,Vehicular,Combat,Automobile,Sim,PvE,PvP,Destruction"
Racing Games,"28 Jan, 2025",Jiffy Goat,Southside Racing,win,None,Positive,20,"Racing,Combat,Racing,Controller,Comedy,Free,to,Play,Funny,Combat,Vehicular,Combat,3D,Multiplayer"
Racing Games,"12 Feb, 2013",KW Studios,RaceRoom Racing Experience,win,None,Mostly Positive,23404,"Free,to,Play,Racing,Automobile,Sim,Realistic,Multiplayer,Driving,Simulation,Competitive,Physics,PvP,Difficult,Sports,Controller,VR,Singleplayer,First-Person,Massively,Multiplayer,eSports,Co-op,Artificial,Intelligence"
Racing Games,"11 Feb, 2024",Hardi,Farm Racing,win,None,Positive,11,"Racing,Casual,Arcade,3D,Stylized,Colorful,Atmospheric,Driving,Indie,Linear,Singleplayer"
