category,date,developer,name,platforms,price,rate,reviews_numbers,tags
RPG Games,"24 Feb, 2016",Playa Games GmbH,Shakes and Fidget,"win,mac",None,Very Positive,36547,"Free,to,Play,RPG,Massively,Multiplayer,Casual,Multiplayer,Adventure,Strategy,Clicker,MMORPG,Character,Customization,Fantasy,Indie,Comedy,Medieval,Singleplayer,Funny,Classic,Dark,Humor,Story,Rich,Cult,Classic"
Simulation Games,"24 Jul, 2020",Great Gretuski Studios,Love Spell: Written In The Stars - a magical romantic-comedy otome,"win,mac,linux",None,Very Positive,189,"Otome,Romance,Visual,Novel,Cute,Dating,Sim,Sexual,Content,Female,Protagonist,Magic,Anime,Multiple,Endings,Fantasy,Simulation,Casual,Comedy,Colorful,Choices,Matter,Tutorial,Narration,Emotional,Beautiful"
Indie Games,"25 Apr, 2025",2D BOYTomorrow Corporation,World of Goo 2,"win,mac,linux","99,45zł",Very Positive,245,"Physics,Puzzle,Building,Casual,2D,Cute,Colorful,Atmospheric,Family,Friendly,Adventure,Comedy,Cartoon,Old,School,Co-op,Local,Co-Op,Local,Multiplayer,Indie,Singleplayer,Multiplayer"
Adventure Games/WB Games Franchise,"10 Apr, 2014",Traveller's TalesFeral Interactive (Mac),LEGO® The Hobbit™,win,"18,80zł",Mostly Positive,4459,"LEGO,Adventure,Action,Local,Co-Op,Multiplayer,Open,World,Funny,Co-op,Fantasy,Singleplayer,Family,Friendly,Comedy,Third,Person,Atmospheric,Dwarf,Split,Screen,Puzzle,RPG,Controller,Strategy"
Indie Games/Beautiful Glitch Franchise,"24 Apr, 2025",Beautiful Glitch,Monster Prom 4: Monster Con,"win,mac,linux","61,19zł",Overwhelmingly Positive,829,"Visual,Novel,Comedy,LGBTQ+,Multiplayer,Dating,Sim,Choices,Matter,Story,Rich,Dark,Humor,Funny,Multiple,Endings,Casual,Text-Based,Memes,Indie,Choose,Your,Own,Adventure,2D,Romance,Comic,Book,Fantasy,Parody"
Massively Multiplayer Games,"1 Feb, 2017",VRChat Inc.,VRChat,win,None,Mostly Positive,238442,"VR,Free,to,Play,Multiplayer,Anime,Memes,Funny,Massively,Multiplayer,First-Person,Open,World,Early,Access,Simulation,Casual,Adventure,MMORPG,Comedy,Sandbox,Dating,Sim,Survival,Horror,Action,Atmospheric"
Sports Games,Coming soon,Bobby Griz,Physics Based Golf,win,None,,,"Simulation,Sports,Physics,Golf,Open,World,Multiplayer,Immersive,Sim,3D,Third,Person,Singleplayer,Action,Indie,Casual,Controller,Walking,Simulator,Automobile,Sim"
Adventure Games/WB Games Franchise,"27 Nov, 2012",Traveller's Tales,LEGO® The Lord of the Rings™,win,"18,80zł",Very Positive,8186,"LEGO,Adventure,Local,Co-Op,Action,Open,World,Fantasy,Comedy,Family,Friendly,Co-op,Singleplayer,Funny,Casual,Controller,Multiplayer,Split,Screen,Local,Multiplayer,Platformer,Third,Person,Puzzle,Dwarf"
Indie Games,"1 Apr, 2021",Nolan Ritchie,Freedom Physics,win,None,2 user reviews,2,"Simulation,Platformer,Sandbox,2D,Platformer,Side,Scroller,2D,Building,Local,Co-Op,Physics,Singleplayer,Indie"
Action Games,"15 Dec, 2016",Midas Touch Game,Fist of Physics,win,None,Mostly Positive,37,"Simulation,Boxing,Action,Indie,Early,Access,Sports,Physics,VR,Robots"
Simulation Games,"25 Jul, 2021",CarPhyGames,Car Physics Simulator,win,"71,40zł",Mixed,40,"Casual,Simulation,Racing,Education,Automobile,Sim,Immersive,Sim,3D,First-Person,Realistic,Third,Person,Physics,Driving,Open,World,Character,Customization,Tutorial,Singleplayer,Indie,Early,Access,Sandbox,Level,Editor"
